Name,Address,Numbers
Takumi,"
        Immermannstr. 28
40210 Dusseldorf
Germany
    ","
            0211 1793308
        "
Naniwa,"
        Oststr. 55
40211 Dusseldorf
Germany
    ","
            0211 161799
        "
Takumi Tonkotsu,"
        Oststr. 51
40211 Dusseldorf
Germany
    ","
            0211 93654643
        "
Takezo,"
        Immermannstr. 48
40210 Dusseldorf
Germany
    ","
            0211 39022053
        "
Ramen Soul,"
        Franklinstr. 24
40479 Dusseldorf
Germany
    ","
            0211 97173617
        "
Umaimon,"
        Hansaallee 244
40547 Dusseldorf
Germany
    ","
            0211 52809951
        "
My Noodlehouse,"
        Bismarckstr. 54 a
40210 Dusseldorf
Germany
    ","
            0211 87638088
        "
Kushi-tei of Tokyo,"
        Immermannstr. 38
40210 Dusseldorf
Germany
    ","
            0211 360935
        "
Takumi,"
        Klosterstr. 72
40211 Dusseldorf
Germany
    ","
"
Soba An,"
        Klosterstr. 68
40211 Dusseldorf
Germany
    ","
            0211 36777575
        "
Naniwa Sushi & more,"
        Klosterstr. 68 a
40211 Dusseldorf
Germany
    ","
            0211 8302222
        "
Roppongi,"
        Berger Str. 11 - 13
40213 Dusseldorf
Germany
    ","
            0211 8681510
        "
